Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  480.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,5/7/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  266.20 ,"Orlovs, Vitālijs",Saskaņa,5/7/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  340.00 ,"Ribakovs, Ivans",Saskaņa,5/7/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  169.40 ,"Ribakovs, Ivans",Saskaņa,5/7/2018
Attīstībai/Par!,Manta vai pakalpojums, €  89.63 ,"Zamurs, Gatis",Attīstībai/Par!,04/07/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,4/7/2018
Kustība Par!,Nauda, €  100.00 ,"Golubeva, Marija",Attīstībai/Par!,3/7/2018
Jaunā konservatīvā partija,Nauda, €  40.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,2/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/7/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Feldmans, Krišjānis",Jauno Konservatīvo frakcija,28/6/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,26/6/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Ģirģens, Kaspars",KPV LV,24/6/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,23/6/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,20/6/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  500.00 ,"Naudiņš, Romāns",Nacionāla Apvienība VL-TB/LNNK,20/6/2018
Zaļo un Zemnieku savienība,Nauda," €  5,000.00 ","Čakša, Anda",Pie frakcijām nepiederošie deputāti,19/6/2018
"KPV LV, Politiskā partija",Nauda, €  150.00 ,"Geidāns, Aivars",KPV LV,15/6/2018
"VIENOTĪBA, Partija",Nauda," €  1,500.00 ","Lībiņa-Egnere, Inese",Jaunā Vienotība,15/6/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,14/6/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,500.00 ","Rubiks, Artūrs",Saskaņa,13/6/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,11/6/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,11/6/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,10/6/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,7/6/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,7/6/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  250.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,6/6/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,4/6/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  55.93 ,"Ribakovs, Ivans",Saskaņa,4/6/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,3/6/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  610.00 ,"Ribakovs, Ivans",Saskaņa,1/6/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/6/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Geidāns, Aivars",KPV LV,23/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  150.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,23/5/2018
Kustība Par!,Nauda," €  2,500.00 ","Baumane, Krista",Attīstībai/Par!,21/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,21/5/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Kazinovskis, Andris",Pie frakcijām nepiederošie deputāti,21/5/2018
Latvijas attīstībai,Biedra nauda, €  300.00 ,"Pūce, Juris",Attīstībai/Par!,21/5/2018
Kustība Par!,Nauda," €  2,500.00 ","Baumane, Krista",Attīstībai/Par!,20/5/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,16/5/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  800.00 ,"Klementjevs, Ivans",Saskaņa,16/5/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Geidāns, Aivars",KPV LV,15/5/2018
Kustība Par!,Nauda, €  500.00 ,"Golubeva, Marija",Attīstībai/Par!,15/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,500.00 ","Naudiņš, Romāns",Nacionāla Apvienība VL-TB/LNNK,15/5/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,15/5/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,14/5/2018
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,11/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,10/5/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  495.00 ,"Orlovs, Vitālijs",Saskaņa,10/5/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Zariņš, Ivars",Saskaņa,9/5/2018
"KPV LV, Politiskā partija",Nauda, €  130.00 ,"Ģirģens, Kaspars",KPV LV,8/5/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,8/5/2018
Attīstībai/Par!,Nauda, €  200.00 ,"Pūce, Juris",Attīstībai/Par!,8/5/2018
"KPV LV, Politiskā partija",Biedra nauda," €  2,000.00 ","Kaimiņš, Artuss",Pie frakcijām nepiederošie deputāti,7/5/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  500.00 ,"Orlovs, Vitālijs",Saskaņa,7/5/2018
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,4/5/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,4/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/5/2018
Latvijas attīstībai,Biedra nauda," €  1,000.00 ","Pūce, Juris",Attīstībai/Par!,30/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Tutins, Jānis",Saskaņa,30/4/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Kiršteins, Aleksandrs",Nacionāla Apvienība VL-TB/LNNK,27/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Nikonovs, Vladimirs",Saskaņa,26/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Nikonovs, Vladimirs",Saskaņa,26/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Ādamsons, Jānis",Saskaņa,24/4/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  174.24 ,"Orlovs, Vitālijs",Saskaņa,24/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ribakovs, Ivans",Saskaņa,24/4/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,23/4/2018
Jaunā konservatīvā partija,Nauda, €  500.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,20/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Rubiks, Artūrs",Saskaņa,19/4/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,17/4/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,16/4/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,16/4/2018
Zaļo un Zemnieku savienība,Nauda," €  2,002.00 ","Krauze, Armands",Zaļo un Zemnieku Savienība,14/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  825.00 ,"Klementjevs, Ivans",Saskaņa,12/4/2018
Kustība Par!,Nauda," €  1,000.00 ","Baumane, Krista",Attīstībai/Par!,10/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,9/4/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Rībena, Inguna",Pie frakcijām nepiederošie deputāti,9/4/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,5/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Orlovs, Vitālijs",Saskaņa,4/4/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Eglītis, Gatis",Jauno Konservatīvo frakcija,3/4/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,1/4/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/4/2018
Latvijas attīstībai,Biedra nauda, €  200.00 ,"Pūce, Juris",Attīstībai/Par!,30/3/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,29/3/2018
Latvijas attīstībai,Biedra nauda," €  2,500.00 ","Zamurs, Gatis",Attīstībai/Par!,28/03/2018
Kustība Par!,Nauda, €  150.00 ,"Skride, Andris",Attīstībai/Par!,27/3/2018
"VIENOTĪBA, Partija",Nauda," €  1,400.00 ","Ašeradens, Arvils",Jaunā Vienotība,26/3/2018
"VIENOTĪBA, Partija",Nauda," €  1,400.00 ","Ašeradens, Arvils",Jaunā Vienotība,26/3/2018
Kustība Par!,Nauda, €  100.00 ,"Baumane, Krista",Attīstībai/Par!,26/3/2018
Zaļo un Zemnieku savienība,Nauda," €  3,001.00 ","Krauze, Armands",Zaļo un Zemnieku Savienība,26/3/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Riekstiņš, Sandis",Jauno Konservatīvo frakcija,26/3/2018
Kustība Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,24/3/2018
Jaunā konservatīvā partija,Nauda, €  11.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,23/3/2018
"KPV LV, Politiskā partija",Nauda, €  30.00 ,"Ģirģens, Kaspars",KPV LV,20/3/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,19/3/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,16/3/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  120.00 ,"Orlovs, Vitālijs",Saskaņa,14/3/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,13/3/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,12/3/2018
Latvijas attīstībai,Biedra nauda, €  50.00 ,"Pūce, Juris",Attīstībai/Par!,12/3/2018
Latvijas attīstībai,Biedra nauda, €  350.00 ,"Pūce, Juris",Attīstībai/Par!,12/3/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  600.00 ,"Orlovs, Vitālijs",Saskaņa,9/3/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  243.00 ,"Orlovs, Vitālijs",Saskaņa,9/3/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,6/3/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/3/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Rībena, Inguna",Pie frakcijām nepiederošie deputāti,28/2/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Eglītis, Gatis",Jauno Konservatīvo frakcija,23/2/2018
Zaļo un Zemnieku savienība,Nauda," €  2,000.00 ","Augulis, Uldis",Zaļo un Zemnieku Savienība,22/2/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,12/2/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,9/2/2018
Kustība Par!,Nauda, €  100.00 ,"Skride, Andris",Attīstībai/Par!,9/2/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Dūklavs, Jānis",Zaļo un Zemnieku Savienība,8/2/2018
Jaunā konservatīvā partija,Nauda, €  500.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,8/2/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,8/2/2018
Latvijas Sociālistiskā partija,Biedra nauda, €  490.00 ,"Rubiks, Artūrs",Saskaņa,8/2/2018
POLITISKĀ PARTIJA IZAUGSME,Nauda, €  100.00 ,"Skride, Andris",Attīstībai/Par!,8/2/2018
Kustība Par!,Nauda, €  200.00 ,"Golubeva, Marija",Attīstībai/Par!,6/2/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  420.35 ,"Orlovs, Vitālijs",Saskaņa,5/2/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/2/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Mūrniece, Ināra",Nacionāla Apvienība VL-TB/LNNK,31/1/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Rībena, Inguna",Pie frakcijām nepiederošie deputāti,30/1/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,29/1/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,19/1/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,18/1/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,15/1/2018
"Saskaņa, sociāldemokrātiskā partija",Biedra nauda," €  1,000.00 ","Ločmele-Luņova, Regīna",Saskaņa,15/1/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,15/1/2018
"Saskaņa, sociāldemokrātiskā partija",Biedra nauda," €  1,000.00 ","Ločmele-Luņova, Regīna",Saskaņa,12/1/2018
Latvijas attīstībai,Biedra nauda," €  1,500.00 ","Pūce, Juris",Attīstībai/Par!,12/1/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,11/1/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,10/1/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Urbanovičs, Jānis",Saskaņa,10/1/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Urbanovičs, Jānis",Saskaņa,10/1/2018
Latvijas attīstībai,Biedra nauda, €  10.00 ,"Pūce, Juris",Attīstībai/Par!,9/1/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,2/1/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,2/1/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,2/1/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/1/2018
